

2007年11月12日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2007年11月12日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","66000","19","708350","10.9","10.9","10.5","10.65","-","0.3","10.65","15","10.7","2","0.00"
="0050  ","台灣50","19618149","3220","1243750229","63.8","63.85","62.6","63.6","-","1.75","63.6","1","63.65","2","0.00"
="0051  ","中100 ","1208000","258","43122470","36.3","36.3","35.1","35.45","-","1.25","35.4","1","35.45","1","0.00"
="0052  ","FB科技","190000","77","8095060","43.9","43.9","41.55","42.3","-","1.65","42","1","42.3","3","0.00"
="0053  ","寶電子","715000","181","19707100","28","28","27.3","27.45","-","0.9","27.35","1","27.53","10","0.00"
="0054  ","台商50","491000","189","12440730","25.6","26.05","25","25.35","-","0.78","25.24","5","25.35","6","0.00"
="0055  ","寶金融","2096000","351","28864890","13.8","13.85","13.69","13.71","-","0.22","13.71","3","13.74","6","0.00"
="01001T","富邦R1","341000","42","3908970","11.5","11.5","11.45","11.45","-","0.1","11.41","75","11.45","5","0.00"
="01002T","國泰R1","3049000","100","30531740","10.04","10.04","10","10.02","-","0.02","10","17","10.02","10","0.00"
="01003T","新光R1","1920000","132","18992210","9.95","9.95","9.85","9.86","-","0.1","9.86","254","9.88","26","0.00"
="01004T","富邦R2","502000","67","5016270","10.08","10.08","9.94","9.98","-","0.1","9.94","13","9.98","15","0.00"
="01005T","三鼎  ","596000","130","4172620","7.02","7.02","6.95","7","-","0.05","7","24","7.01","70","0.00"
="01007T","國泰R2","376000","47","3775030","10.08","10.08","9.93","10.02","-","0.06","10.02","24","10.05","135","0.00"
="01008T","駿馬R1","1354000","29","11486600","8.5","8.5","8.45","8.45","-","0.03","8.45","59","8.53","30","0.00"
"1101  ","台泥  ","14578214","4887","726237012","50.1","51.2","48.75","48.8","-","3.6","48.75","551","48.8","10","17.3"
"1102  ","亞泥  ","8593312","2128","395374234","47","47.4","45.2","45.5","-","3.1","45.5","83","45.6","6","13.3"
"1103  ","嘉泥  ","3023297","862","83500895","27.95","28.4","27.1","27.2","-","1.9","27.2","29","27.3","21","23.45"
"1104  ","環泥  ","2373954","631","33678343","14.3","14.85","14","14.2","-","0.85","14.15","1","14.2","17","24.91"
"1108  ","幸福  ","2628202","775","24771766","9.45","9.8","9.3","9.5","-","0.46","9.5","151","9.59","4","79.17"
"1109  ","信大  ","415040","173","4515380","11.3","11.3","10.75","10.8","-","0.5","10.8","40","10.85","1","17.7"
"1110  ","東泥  ","1384050","349","14415672","10.7","10.7","10.25","10.25","-","0.75","10.25","424","10.4","2","341.67"
"1201  ","味全  ","2963605","1275","51319469","17.2","17.75","17.15","17.15","-","1.25","17.15","390","17.2","100","20.91"
"1203  ","味王  ","953009","370","20222388","21.5","21.85","20.95","20.95","-","1.55","--","0","20.95","24","0.00"
"1210  ","大成  ","5202867","1797","184912297","36.85","36.85","34.85","34.85","-","2.6","--","0","34.85","361","14"
"1213  ","大飲  ","29252","19","355398","12.45","12.45","12.05","12.2","-","0.3","12.15","3","12.3","6","610"
"1215  ","卜蜂  ","1928215","598","25796258","14","14","13.2","13.2","-","0.95","--","0","13.2","57","14.04"
"1216  ","統一  ","14653202","4857","646891091","45.8","45.8","43.35","43.35","-","3.25","--","0","43.35","1,385","18.77"
"1217  ","愛之味","3417182","893","39836163","11.65","11.85","11.65","11.65","-","0.85","--","0","11.65","1,721","0.00"
"1218  ","泰山  ","1291504","419","12302170","9.9","9.9","9.35","9.35","-","0.63","9.35","2","9.4","2","26.71"
"1219  ","福壽  ","876002","289","8991171","10.3","10.55","10.15","10.4","-","0.3","10.4","5","10.45","5","27.37"
"1220  ","台榮  ","275417","111","2658660","9.5","10","9.5","9.65","-","0.45","9.6","32","9.8","6","0.00"
"1225  ","福懋油","756002","137","7371330","9.77","9.87","9.6","9.75","-","0.22","9.75","3","9.76","50","18.06"
"1227  ","佳格  ","771614","199","12314274","16.25","16.4","15.75","16","-","0.45","15.95","50","16","107","18.6"
"1229  ","聯華  ","2245465","657","39897674","17.85","18","17.55","17.55","-","0.65","17.55","24","17.6","3","8.91"
"1231  ","聯華食","441011","137","4702666","10.95","10.95","10.5","10.65","-","0.35","10.65","2","10.7","25","13.48"
"1232  ","大統益","277022","120","7659456","27","28.3","27","27.4","-","0.55","27.4","5","27.6","2","10.07"
"1233  ","天仁  ","78469","47","2227872","28.5","28.65","28.3","28.3"," ","0","28.25","12","28.3","3","19.12"
"1234  ","黑松  ","1863782","363","25587806","14","14","13.6","13.6","-","0.55","13.6","124","13.65","3","32.38"
"1235  ","興泰  ","20218","11","444017","21.95","22","21.9","22","-","0.1","21.9","1","22","11","25"
"1236  ","宏亞  ","48003","23","786199","16.3","16.6","16.15","16.6","+","0.05","16.4","2","16.5","17","13.72"
"1301  ","台塑  ","16399180","4430","1590905030","97.5","97.5","96.8","97","-","1","97","206","97.3","3","12.65"
"1303  ","南亞  ","10965559","4223","976879351","89.5","90.2","88.3","89","-","2.5","89","21","89.2","16","12.06"
"1304  ","台聚  ","8683453","2359","160905061","18.6","18.9","18.15","18.35","-","0.8","18.35","22","18.4","157","11.26"
"1305  ","華夏  ","3884435","844","35284125","9.1","9.3","8.9","8.99","-","0.52","8.95","2","8.99","12","0.00"
"1307  ","三芳  ","40496","20","1134789","28.5","28.5","27.65","27.7","-","1.3","27.7","1","28","1","14.81"
"1308  ","亞聚  ","2079576","832","51531925","24.55","25.3","24.25","24.7","-","0.75","24.7","6","24.75","7","10.16"
"1309  ","台達化","1386759","338","14261390","10.5","10.6","10.1","10.1","-","0.65","10.1","100","10.3","15","12.78"
"1310  ","台苯  ","4235086","1080","62213640","15.1","15.1","14.5","14.5","-","0.6","14.5","542","14.55","1","16.86"
"1311  ","福聚  ","2645335","743","61682251","24.05","24.05","23","23","-","1.7","--","0","23","164","8.75"
"1312  ","國喬  ","7243288","1430","88558391","12.5","12.5","12","12.1","-","0.65","12.05","177","12.1","162","7.33"
"1312A ","國喬特","28000","18","485400","16.3","17.45","16.3","17.3","-","0.2","16.9","2","17.25","1","0.00"
"1313  ","聯成  ","7364660","1474","137624099","18.6","18.8","18.5","18.7","-","0.6","18.65","133","18.7","18","7.96"
"1314  ","中石化","24403827","4027","365875517","15","15.25","14.65","14.85","-","0.55","14.85","68","14.9","81","9"
"1315  ","達新  ","596001","225","12619123","21.7","21.75","20.8","21.2","-","0.8","21.1","10","21.3","2","13.09"
"1316  ","上曜  ","880434","111","5623330","6.66","6.66","6.3","6.45","-","0.21","6.31","1","6.45","4","0.00"
"1319  ","東陽  ","4463571","1016","121233867","28.3","28.3","27","27","-","2","27","441","27.05","2","12.98"
"1321  ","大洋  ","618280","211","10811929","18.2","18.2","17.25","17.25","-","1.25","--","0","17.25","115","0.00"
"1323  ","永裕  ","582010","213","7655640","13.2","13.35","13.05","13.05","-","0.95","--","0","13.05","109","26.63"
"1324  ","地球  ","145001","61","3120471","21.5","22.2","21.3","21.4","-","1.5","21.4","1","21.5","5","0.00"
"1325  ","恆大  ","219000","59","2635250","12.1","12.15","11.95","12.05","-","0.05","12.05","1","12.1","19","13.69"
"1326  ","台化  ","10430506","2509","875638182","84.7","84.9","83.5","84.6","-","1.1","84.5","2","84.6","275","10.6"
"1402  ","遠東新","11758567","4073","467118663","40.8","41","38.9","39","-","2.8","39","119","39.05","1","17.57"
"1409  ","新纖  ","10994457","1333","113866826","10.25","10.55","10.1","10.2","-","0.35","10.2","118","10.25","31","0.00"
"1410  ","南染  ","140003","58","2383198","17.1","17.4","16.65","17","-","0.6","17","8","17.15","4","130.77"
"1413  ","宏洲  ","1077118","173","3694021","3.47","3.51","3.4","3.4","-","0.11","3.4","55","3.44","10","0.00"
"1414  ","東和  ","343874","99","2230363","6.66","6.66","6.36","6.45","-","0.23","6.41","3","6.45","91","43"
"1416  ","廣豐  ","4180610","680","37095996","9.1","9.15","8.75","8.76","-","0.64","8.76","105","8.78","9","46.11"
"1417  ","嘉裕  ","5248338","639","42366079","8.53","8.53","8.03","8.03","-","0.6","8.03","24","8.05","15","0.00"
"1418  ","東華  ","1071000","186","4478880","4.17","4.22","4.17","4.17","-","0.31","--","0","4.17","155","0.00"
"1419  ","新紡  ","881867","263","19474778","22.5","22.9","21.85","21.85","-","1.6","--","0","21.85","31","80.93"
"1423  ","利華  ","569416","143","5499973","9.5","9.98","9.5","9.66","-","0.34","9.65","5","9.66","3","12.55"
"1432  ","大魯閣","22000","2","134900","6.06","6.85","6.06","6.85","+","0.34","--","0","6.85","1","1.39"
"1434  ","福懋  ","3691875","1278","122876730","33.6","33.75","33","33.2","-","1.25","33.2","115","33.3","11","7.33"
"1435  ","中福  ","310172","88","1669821","5.6","5.67","5.28","5.36","-","0.31","5.3","12","5.36","11","0.00"
"1436  ","華友聯","256300","45","2637227","10.5","10.7","10","10.2","-","0.3","10.2","43","10.4","41","53.68"
"1437  ","勤益控","1689050","362","32916100","19.6","20","19.45","19.45","-","1.45","--","0","19.45","1,591","13.23"
"1438  ","裕豐  ","0","0","0","--","--","--","--"," ","0","--","0","1.2","1","0.00"
