

2014年07月01日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,11045.99,+,55.17,0.5
發行量加權股價指數,9441.92,+,48.85,0.52
臺灣50指數,6635.46,+,48.44,0.74
臺灣中型100指數,7812.58,+,37.56,0.48
臺灣資訊科技指數,7931.22,+,89.48,1.14
臺灣發達指數,8182.25,+,46.82,0.58
臺灣高股息指數,6076.45,+,40.41,0.67
臺灣就業99指數,5554.67,+,27.55,0.5
臺灣企業經營101指數,5968.44,+,34.89,0.59
臺灣低波動高股息指數,1494.68,+,5.49,0.37
未含金融保險股指數,8037.9,+,48.77,0.61
未含電子股指數,13504.9,+,17.9,0.13
未含金融電子股指數,11902.84,+,25.75,0.22
水泥窯製類指數,608.47,+,6.03,1
塑膠化工類指數,876.36,+,10.5,1.21
機電類指數,2122.53,+,17,0.81
水泥類指數,154.12,+,1.76,1.16
食品類指數,1268.67,-,4.54,-0.36
塑膠類指數,241.46,+,3.11,1.3
紡織纖維類指數,545,-,1.62,-0.3
電機機械類指數,181.87,-,1,-0.55
電器電纜類指數,41.71,+,0.08,0.19
化學生技醫療類指數,119.05,+,0.48,0.4
化學類指數,113.06,+,0.58,0.52
生技醫療類指數,89.55,+,0.23,0.26
玻璃陶瓷類指數,61.97,+,0.17,0.28
造紙類指數,186.39,-,0.4,-0.21
鋼鐵類指數,98.1,-,0.16,-0.16
橡膠類指數,390.46,+,7.23,1.89
汽車類指數,329.01,+,1.77,0.54
電子類指數,375.44,+,3.2,0.86
半導體類指數,118.44,+,1.39,1.19
電腦及週邊設備類指數,109.6,+,0.9,0.83
光電類指數,43.19,+,0.1,0.23
通信網路類指數,117.73,-,0.06,-0.05
電子零組件類指數,98.75,+,0.55,0.56
電子通路類指數,123.3,+,0.24,0.2
資訊服務類指數,106.58,+,1.35,1.28
其他電子類指數,83.46,+,1.19,1.45
建材營造類指數,287.9,-,0.49,-0.17
航運類指數,72.36,+,0.21,0.29
觀光類指數,142.45,-,0.86,-0.6
金融保險類指數,1037.05,-,0.9,-0.09
貿易百貨類指數,253.82,-,0.42,-0.17
油電燃氣類指數,98.75,-,1.3,-1.3
其他類指數,246.68,-,0.35,-0.14
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11089.54,+,67.15,0.61
發行量加權股價報酬指數,14008.09,+,88.7,0.64
臺灣50報酬指數,9979.44,+,76.37,0.77
臺灣中型100報酬指數,10879.63,+,61.23,0.57
臺灣資訊科技報酬指數,11274.76,+,127.2,1.14
臺灣發達報酬指數,11126.59,+,74.07,0.67
